native.country,level1,level2
United-States,North-America,*
Canada,North-America,*
Mexico,North-America,*
Cuba,North-America,*
Jamaica,North-America,*
Dominican-Republic,North-America,*
Haiti,North-America,*
Guatemala,North-America,*
El-Salvador,North-America,*
Nicaragua,North-America,*
Honduras,North-America,*
Puerto-Rico,North-America,*

Columbia,South-America,*
Peru,South-America,*
Ecuador,South-America,*
Trinadad&Tobago,South-America,*

England,Europe,*
Germany,Europe,*
France,Europe,*
Italy,Europe,*
Portugal,Europe,*
Poland,Europe,*
Greece,Europe,*
Hungary,Europe,*
Scotland,Europe,*
Ireland,Europe,*
Yugoslavia,Europe,*
Holand-Netherlands,Europe,*

India,Asia,*
China,Asia,*
Japan,Asia,*
Philippines,Asia,*
Vietnam,Asia,*
Thailand,Asia,*
Cambodia,Asia,*
Laos,Asia,*
Taiwan,Asia,*
Hong,Asia,*
South-Korea,Asia,*

Iran,Middle-East,*

Outlying-US(Guam-USVI-etc),North-America,*

Unknown,Unknown,*